team,ofe,dfe
UMBC,105.3827614,119.3691893
Alcorn St.,98.38248059,111.4988046
Florida A&M,102.1135112,115.7370575
Morehead St.,98.78135578,112.0082862
Lindenwood,95.201496,108.1689102
Southern Utah,96.8292413,110.1834698
Coastal Carolina,101.4639672,115.6232507
Niagara,101.417322,115.5812435
Grambling St.,96.22695606,110.0716523
Stonehill,100.6656844,115.2935791
Holy Cross,101.3643582,116.1734331
Stony Brook,102.3082148,117.7352192
Green Bay,101.0422892,116.4591334
Fairfield,99.10765235,114.3312161
Mercyhurst,100.541299,116.0332257
Texas A&M Commerce,96.71617776,111.6438017
USC Upstate,99.8005672,115.4904437
Southern Indiana,99.38439023,115.269811
North Carolina A&T,97.32430657,113.2059253
Bellarmine,104.0552143,121.0672007
Morgan St.,102.2066322,119.2466386
Wagner,93.74035605,109.4083684
Western Illinois,99.75638569,117.2679422
Western Carolina,96.05532606,112.9572437
West Georgia,97.77974154,115.0220412
Louisiana Monroe,97.27617038,115.0005627
Buffalo,96.07739217,113.6809212
Le Moyne,103.2790252,122.3309847
Detroit Mercy,95.20070335,112.7842078
Northern Illinois,94.76424808,112.7348211
New Orleans,99.49561255,118.4986702
Sacramento St.,95.96711694,114.3055027
Central Arkansas,98.15490729,117.1167847
Stetson,99.98935439,119.4902237
NJIT,94.61153145,113.772569
Cal St. Fullerton,92.85930007,112.6612486
Canisius,99.90640634,121.4181857
New Hampshire,94.44981156,115.2877528
Prairie View A&M,96.70110808,118.3838276
Alabama A&M,93.38113998,115.1483799
Chicago St.,93.02288155,116.2187882
The Citadel,94.26345324,117.9175429
Maryland Eastern Shore,95.01299342,118.9451878
Arkansas Pine Bluff,95.6678003,122.1888613
Coppin St.,88.21375655,113.5943378
Mississippi Valley St.,83.54485842,125.5529897
